Year,Qtr1,Qtr2,Qtr3,Qtr4,Annual
1979,,,,,265
1980,,,,,286
1981,,,,,308
1982,,,,,327
1983,,,,,343
1984,,,,,362
1985,,,,,379
1986,,,,,391
1987,,,,,403
1988,,,,,414
1989,,,,,427
1990,,,,,449
1991,,,,,467
1992,,,,,479
1993,,,,,491
1994,,,,,500
1995,,,,,510
1996,,,,,520
1997,,,,,540
1998,,,,,572
1999,,,,,592
2000,603,606,611,614,609
2001,620,624,636,642,630
2002,645,643,646,651,646
2003,659,659,662,667,662
2004,676,684,681,692,683
2005,696,688,697,704,696
2006,712,705,726,726,718
2007,733,735,745,741,738
2008,757,760,763,764,761
2009,772,770,774,780,774
2010,787,774,780,788,782
2011,791,794,798,805,797
2012,815,821,803,823,815
2013,827,828,820,835,827
2014,837,831,839,847,839
2015,856,852,857,872,860
2016,878,880,886,896,885
2017,908,909,909,902,907
2018,922,928,934,946,932
2019,954,960,975,984,969
2020,1000,1046,1051,1029,1029
2021,1040,1048,1068,1069,1057
2022,1100,1107,1138,1139,1123
2023,1155,1157,1172,1205,1170
2024,1190,1201,1233,1252,1221
2025,1258,1264,,,
